Chinese,English,Pinyin
代表,represent,dàibiǎo
带动,drive,dàidòng
大夫,doctor,dàifu
带领,lead,dàilǐng
单元,unit,dānyuán
当初,At first,dāngchū
当地,local,dāngdì
当然,certainly,dāngrán
当中,among,dāngzhōng
导演,director,dǎoyǎn
到达,arrive,dàodá
到底,in the end,dàodǐ
得分,Score,défēn
等待,wait,děngdài
底下,under,dǐxia
地区,area,dìqū
电台,Radio station,diàntái
调查,investigation,diàochá
定期,regular,dìngqī
东部,east,dōngbù
动力,power,dònglì
动人,moving,dòngrén
读者,reader,dúzhě
短处,Shortcomings,duǎnchù
短裤,shorts,duǎnkù
短期,short term,duǎnqī
对待,treat,duìdài
对方,other side,duìfāng
对手,opponent,duìshǒu
对象,object,duìxiàng
队员,Team members,duìyuán
发表,Publish,fābiǎo
发出,issue,fāchū
发达,developed,fādá
发动,launch,fādòng
发明,invention,fāmíng
发生,occur,fāshēng
发送,send,fāsòng
发言,Speech,fāyán
发展,develop,fāzhǎn
反对,be opposed to,fǎnduì
反复,repeatedly,fǎnfù
反应,reaction,fǎnyìng
反正,Anyway,fǎn·zhèng
范围,scope,fànwéi
方式,Way,fāngshì
房东,landlord,fángdōng
房屋,houses,fángwū
防止,prevent,fángzhǐ
房租,rent,fángzū
访问,access,fǎngwèn
放到,Put into,fàngdào
飞行,flight,fēixíng
费用,cost,fèiyong
分别,respectively,fēnbié
分配,distribute,fēnpèi
分组,Grouping,fēn zǔ
丰富,Rich,fēngfù
风险,risk,fēngxiǎn
否定,negative,fǒudìng
否认,deny,fǒurèn
服装,clothing,fúzhuāng
父母,parents,fùmǔ
父亲,Father,fù·qīn
复印,copy,fùyìn
复杂,complex,fùzá
负责,Responsible,fùzé
改进,improve,gǎijìn
改造,Transformation,gǎizào
概念,concept,gàiniàn
赶到,Arrive,gǎndào
赶紧,Hurry,gǎnjǐn
赶快,hurry up,gǎnkuài
感冒,cold,gǎnmào
感情,emotion,gǎnqíng
感受,Feeling,gǎnshòu
干吗,Why,gànmá
高速,high speed,gāosù
告别,bid farewell,gào∥bié
歌迷,fans,gēmí
歌声,singing,gēshēng
歌手,singer,gēshǒu
各地,various places,gèdì
个人,personal,gèrén
各位,Dear friends,gèwèi
个性,personality,gèxìng
各种,Various,gèzhǒng
各自,respective,gèzì
根本,fundamental,gēnběn
更加,more,gèngjiā
公布,Announcement,gōngbù
工厂,factory,gōngchǎng
功夫,effort,gōngfu
工夫,time,gōngfu
公共,public,gōnggòng
工具,tool,gōngjù
公开,public,gōngkāi
功课,homework,gōngkè
公民,citizen,gōngmín
功能,Function,gōngnéng
工业,industry,gōngyè
工资,salary,gōngzī
共同,common,gòngtóng
共有,Total,gòngyǒu
古代,Ancient,gǔdài
故乡,home,gùxiāng
观察,observe,guānchá
观看,Watch,guānkàn
观念,Concept,guānniàn
关系,relation,guān·xì
观众,audience,guānzhòng
关注,focus on,guānzhù
管理,manage,guǎnlǐ
光明,bright,guāngmíng
广播,broadcast,guǎngbō
广大,vast,guǎngdà
规定,Regulation,guīdìng
规范,specification,guīfàn
姑娘,girl,gūniang
国内,domestic,guó nèi
国庆,National Day,guóqìng
果然,really,guǒrán
果汁,juice,guǒzhī
过程,process,guòchéng
过去,past,guòqù
哈哈,Ha ha,hāhā
海关,customs,hǎiguān
害怕,Fear,hài∥pà
好好,well,hǎohǎo
好奇,curious,hàoqí
合法,legitimate,héfǎ
合格,qualified,hégé
合理,Reasonable,hélǐ
和平,Peace,hépíng
合作,cooperate,hézuò
红茶,black tea,hóngchá
红酒,wine,hóngjiǔ
后果,as a result of,hòuguǒ
后面,later,hòumiàn
后年,The year after next,hòunián
互相,each other,hùxiāng
划船,boating,huáchuán
华人,Chinese,huárén
话剧,stage play,huàjù
话题,topic,huàtí
欢乐,joy,huānlè
环保,Environmental friendly,huánbǎo
环境,environment,huánjìng
会议,Meeting,huìyì
会员,member,huìyuán
基本,Basic,jīběn
基础,Base,jīchǔ
积极,positive,jījí
机器,machine,jī·qì
…极了,…Absolutely amazing,…jí le
及时,timely,jíshí
集体,collective,jítǐ
集中,concentrated,jízhōng
纪录,Record,jìlù
记录,Record,jìlù
技术,technology,jìshù
计算,calculate,jìsuàn
继续,continue,jìxù
记者,reporter,jìzhě
加工,Processing,jiā∥gōng
家具,furniture,jiājù
加快,accelerate,jiākuài
加强,strengthen,jiāqiáng
家属,Family members,jiāshǔ
家乡,hometown,jiāxiāng
价格,price,jiàgé
价钱,Price,jià·qián
价值,value,jiàzhí
坚持,persist in,jiānchí
坚决,Resolute,jiānjué
坚强,strong,jiānqiáng
简单,Simple,jiǎndān
简直,simply,jiǎnzhí
建成,Completed,jiànchéng
建立,Establish,jiànlì
建设,Construction,jiànshè
建议,suggestion,jiànyì
将近,nearly,jiāngjìn
将来,future,jiānglái
交费,Pay,jiāofèi
交警,traffic police,jiāojǐng
交流,comminicate,jiāoliú
交往,Interaction,jiāowǎng
交易,trade,jiāoyì
教材,textbooks,jiàocái
教练,coach,jiàoliàn
接待,reception,jiēdài
接近,near,jiējìn
结实,solid,jiēshi
结合,Combination,jiéhé
结婚,marry,jié∥hūn
结束,Finish,jiéshù
节约,save,jiéyuē
解决,solve,jiějué
解开,Untie,jiěkāi
金牌,gold medal,jīnpái
紧急,urgent,jǐnjí
仅仅,only,jǐnjǐn
尽量,Try your best,jǐnliàng
紧张,nervous,jǐnzhāng
进步,progress,jìnbù
纪念,commemorate,jìniàn
近期,Recently,jìnqī
进展,progress,jìnzhǎn
精彩,Wonderful,jīngcǎi
经济,economy,jīngjì
京剧,Peking Opera,jīngjù
经历,experience,jīnglì
精神,Spirit,jīngshen
精神,Spirit,jīngshén
经验,experience,jīngyàn
经营,Business,jīngyíng
警察,police,jǐngchá
景色,view,jǐngsè
就是,that is,jiùshì
就业,Employment,jiù∥yè
举办,hold,jǔbàn
剧场,theater,jùchǎng
据说,It is said,jùshuō
具体,specific,jùtǐ
具有,have,jùyǒu
决定,Decide,juédìng
绝对,absolute,juéduì
决赛,finals,juésài
决心,determination,juéxīn
咖啡,coffee,kāfēi
开发,Development,kāifā
开放,open,kāifàng
开始,start,kāishǐ
开业,Opening,kāi∥yè
开展,Carry out,kāizhǎn
考验,test,kǎoyàn
科技,science and technology,kējì
可靠,reliable,kěkào
可乐,Cola,kělè
课程,course,kèchéng
克服,overcome,kèfú
客观,objective,kèguān
空调,air conditioner,kōngtiáo
恐怕,I am afraid,kǒngpà
裤子,Pants,kùzi
快速,fast,kuàisù
困难,difficulty,kùnnan
浪费,waste,làngfèi
老板,boss,lǎobǎn
老头儿,old man,lǎotóur
乐观,optimism,lèguān
类似,similar,lèisì
离婚,divorce,lí∥hūn
理发,Haircut,lǐ∥fà
理解,understand,lǐjiě
理论,theory,lǐlùn
里面,in,lǐmiàn
理由,reason,lǐyóu
立刻,immediately,lìkè
力量,strength,lì·liàng
利用,use,lìyòng
联合,joint,liánhé
连忙,Immediately,liánmáng
联系,connect,liánxì
连续,continuous,liánxù
凉水,cold water,liángshuǐ
领导,lead,lǐngdǎo
领先,Leading,lǐng∥xiān
另外,in addition,lìngwài
留学,Study abroad,liú∥xué
路线,route,lùxiàn
录音,recording,lùyīn
落后,behind,luò∥hòu
旅馆,hostel,lǚguǎn
绿茶,green tea,lǜchá
麻烦,trouble,máfan
满足,satisfy,mǎnzú
慢慢,Slowly,mànmàn
毛病,Problem,máo·bìng
媒体,media,méitǐ
没用,Useless,méiyòng
美好,good,měihǎo
美丽,beauty,měilì
美食,gourmet food,měishí
美术,art,měishù
美元,Dollar,měiyuán
面对,face,miànduì
面积,area,miànjī
民间,folk,mínjiān
民族,nationality,mínzú
明确,clear,míngquè
明显,obvious,míngxiǎn
命运,destiny,mìngyùn
母亲,Mother,mǔ·qīn
目标,Target,mùbiāo
目前,at present,mùqián
木头,wood,mùtou
奶茶,milk tea,nǎichá
南部,South,nánbù
难道,Could it be...?,nándào
难度,Difficulty,nándù
男子,man,nánzǐ
内容,content,nèiróng
内心,heart,nèixīn
能力,ability,nénglì
年初,At the beginning of the year,niánchū
年代,Era,niándài
年底,End of year,niándǐ
年纪,age,niánjì
农村,rural areas,nóngcūn
农民,farmers,nóngmín
农业,agriculture,nóngyè
暖和,warm,nuǎnhuo
女子,woman,nǚzǐ
排名,Ranking,pái∥míng
牌子,brand,páizi
判断,judge,pànduàn
跑步,running,pǎo∥bù
配合,Cooperate,pèihé
批评,criticize,pīpíng
批准,approve,pīzhǔn
皮包,leather bag,píbāo
啤酒,beer,píjiǔ
票价,fare,piàojià
苹果,apple,píngguǒ
评价,evaluate,píngjià
破坏,destroy,pòhuài
普遍,universal,pǔbiàn
普及,universal,pǔjí
其次,Secondly,qícì
奇怪,strangeness,qíguài
其实,actually,qíshí
气候,climate,qìhòu
千万,Tens of millions,qiānwàn
前后,front and back,qiánhòu
前进,go ahead,qiánjìn
前面,Front,qiánmiàn
前往,Go to,qiánwǎng
强大,powerful,qiángdà
强调,emphasize,qiángdiào
强烈,strong,qiángliè
亲切,kind,qīnqiè
亲人,relatives,qīnrén
亲自,personally,qīnzì
情感,emotion,qínggǎn
情况,Condition,qíngkuàng
请教,consult,qǐngjiào
庆祝,celebrate,qìngzhù
球迷,fan,qiúmí
区别,the difference,qūbié
取消,Cancel,qǔxiāo
去世,Passed away,qùshì
全场,The whole audience,quánchǎng
全面,comprehensive,quánmiàn
全球,worldwide,quánqiú
缺点,shortcoming,quēdiǎn
缺少,Lack,quēshǎo
确保,make sure,quèbǎo
确定,Sure,quèdìng
确实,really,quèshí
裙子,skirt,qúnzi
热烈,warm,rèliè
热爱,Passion,rè’ài
人才,Talent,réncái
人工,artificial,réngōng
人类,Humans,rénlèi
人民,people,rénmín
人群,crowd,rénqún
人生,Life,rénshēng
人员,personnel,rényuán
认出,make out,rènchū
认得,Recognize,rènde
任何,any,rènhé
认可,Approval,rènkě
任务,Task,rènwu
仍然,still,réngrán
日常,daily,rìcháng
容易,easy,róngyì
如何,how,rúhé
散步,walk,sàn∥bù
沙发,sofa,shāfā
沙子,sand,shāzi
商品,commodity,shāngpǐn
伤心,sad,shāng∥xīn
商业,Business,shāngyè
上来,Come up,shàng∥·lái
上面,above,shàngmiàn
上去,Go up,shàng∥·qù
上升,rise,shàngshēng
上衣,Jacket,shàngyī
设备,equipment,shèbèi
社会,society,shèhuì
设计,design,shèjì
设立,set up,shèlì
深刻,profound,shēnkè
深入,In-depth,shēnrù
生产,Production,shēngchǎn
生存,Survive,shēngcún
生动,vivid,shēngdòng
声明,statement,shēngmíng
生命,life,shēngmìng
生意,Business,shēngyi
生长,growth,shēngzhǎng
胜利,victory,shènglì
失去,lose,shīqù
时代,era,shídài
时刻,time,shíkè
实力,strength,shílì
食品,food,shípǐn
石头,Stone,shítou
实行,Implementation,shíxíng
实验,experiment,shíyàn
石油,oil,shíyóu
始终,Always,shǐzhōng
市场,market,shìchǎng
事故,ACCIDENT,shìgù
适合,Suitable,shìhé
世纪,century,shìjì
事件,event,shìjiàn
世界,world,shìjiè
事实,fact,shìshí
试题,Test Questions,shìtí
试验,test,shìyàn
事业,cause,shìyè
适应,adapt,shìyìng
适用,Applicable,shìyòng
收费,TOLL,shōufèi
收看,Watch,shōukàn
收听,Listen,shōutīng
首都,capital,shǒudū
首先,first,shǒuxiān
手续,formalities,shǒuxù
手指,finger,shǒuzhǐ
受伤,Injuried,shòu∥shāng
书架,bookshelf,shūjià
输入,enter,shūrù
熟人,acquaintance,shúrén
属于,belong,shǔyú
数量,quantity,shùliàng
双方,both sides,shuāngfāng
思想,Thought,sīxiǎng
速度,speed,sùdù
所长,Director,suǒzhǎng
谈话,conversation,tán∥huà
谈判,negotiation,tánpàn
特色,feature,tèsè
题目,topic,tímù
提前,in advance,tíqián
提问,Question,tíwèn
体会,Experience,tǐhuì
体现,reflect,tǐxiàn
体验,Experience,tǐyàn
天空,Sky,tiānkōng
调整,Adjustment,tiáozhěng
跳高,high jump,tiàogāo
跳舞,Dance,tiào∥wǔ
跳远,long jump,tiàoyuǎn
铁路,railway,tiělù
听力,hearing,tīnglì
听众,audience,tīngzhòng
停止,stop,tíngzhǐ
通常,generally,tōngcháng
通信,communication,tōng∥xìn
同意,agree,tóngyì
痛苦,pain,tòngkǔ
头脑,mind,tóunǎo
突出,protrude,tūchū
突然,Sudden,tūrán
图画,picture,túhuà
团结,Unity,tuánjié
团体,group,tuántǐ
推动,promote,tuī∥dòng
推广,Promotion,tuīguǎng
推进,Advance,tuījìn
推开,Push away,tuīkāi
退出,quit,tuìchū
退休,retire,tuì∥xiū
外交,diplomatic,wàijiāo
外面,Outside,wài·miàn
外文,foreign language,wàiwén
玩具,Toy,wánjù
完美,Perfect,wánměi
完善,Complete,wánshàn
完整,whole,wánzhěng
往往,often,wǎngwǎng
危害,harm,wēihài
危险,Danger,wēixiǎn
伟大,great,wěidà
为了,for,wèile
卫生,health,wèishēng
温暖,warmth,wēnnuǎn
文化,culture,wénhuà
文件,document,wénjiàn
文明,civilization,wénmíng
文学,literature,wénxué
文章,article,wénzhāng
文字,Word,wénzì
握手,shake hands,wò∥shǒu
屋子,room,wūzi
武器,arms,wǔqì
武术,martial arts,wǔshù
舞台,stage,wǔtái
西部,west,xībù
希望,hope,xīwàng
下来,Come down,xià∥·lái
下面,under,xiàmiàn
下去,Go down,xià∥·qù
先进,advanced,xiānjìn
显得,It appears,xiǎnde
显然,Obviously,xiǎnrán
显示,show,xiǎnshì
现场,on site,xiànchǎng
现代,modern,xiàndài
现金,cash,xiànjīn
现实,Reality,xiànshí
现象,Phenomenon,xiànxiàng
相比,compared to,xiāngbǐ
相当,quite,xiāngdāng
相关,Related,xiāngguān
相互,mutual,xiānghù
香蕉,banana,xiāngjiāo
相似,resemblance,xiāngsì
消费,Consumption,xiāofèi
消失,disappear,xiāoshī
消息,information,xiāoxi
效果,Effect,xiàoguǒ
写作,writing,xiězuò
信封,envelope,xìnfēng
信任,trust,xìnrèn
形成,form,xíngchéng
行李,luggage,xíngli
形式,form,xíngshì
形象,Image,xíngxiàng
形状,shape,xíngzhuàng
性别,gender,xìngbié
幸福,happiness,xìngfú
性格,character,xìnggé
幸运,Lucky,xìngyùn
修改,Revise,xiūgǎi
需求,need,xūqiú
需要,need,xūyào
宣布,Announce,xuānbù
宣传,publicity,xuānchuán
选手,contestants,xuǎnshǒu
学费,tuition fee,xuéfèi
训练,train,xùnliàn
压力,pressure,yālì
演唱,Singing,yǎnchàng
演出,show,yǎnchū
眼前,Before my eyes,yǎnqián
演员,actor,yǎnyuán
阳光,Sunlight,yángguāng
要是,if,yàoshi
衣架,Coat hanger,yījià
一切,everything,yíqiè
以来,since,yǐlái
艺术,Art,yìshù
意外,Accident,yìwài
意义,significance,yìyì
因此,therefore,yīncǐ
银牌,silver medal,yínpái
印象,impression,yìnxiàng
应当,should,yīngdāng
迎接,meet,yíngjiē
营养,Nutrition,yíngyǎng
影视,Film and television,yǐngshì
应用,application,yìngyòng
优点,advantage,yōudiǎn
优势,Advantages,yōushì
邮件,mail,yóujiàn
邮票,stamp,yóupiào
游戏,game,yóuxì
邮箱,Mail,yóuxiāng
游泳,swim,yóuyǒng
由于,because,yóuyú
有利,favorable,yǒulì
有效,efficient,yǒuxiào
预报,forecast,yùbào
预防,prevention,yùfáng
预计,Expected,yùjì
预习,Preview,yùxí
员工,staff,yuángōng
愿望,desire,yuànwàng
乐队,band,yuèduì
运输,transportation,yùnshū
杂志,Magazine,zázhì
早已,long ago,zǎoyǐ
造成,cause,zàochéng
责任,responsibility,zérèn
增加,Increase,zēngjiā
增长,increase,zēngzhǎng
展开,Expand,zhǎn∥kāi
真实,reality,zhēnshí
争取,Strive,zhēngqǔ
整个,entire,zhěnggè
整理,tidy,zhěnglǐ
整齐,tidy,zhěngqí
整体,overall,zhěngtǐ
整天,All day,zhěngtiān
整整,full,zhěngzhěng
证件,ID,zhèngjiàn
证据,evidence,zhèngjù
证明,prove,zhèngmíng
正式,formal,zhèngshì
支持,support,zhīchí
支付,Payment,zhīfù
直播,live streaming,zhíbō
直到,until,zhídào
值得,worth,zhí∥·dé
职工,staff,zhígōng
职业,Profession,zhíyè
指出,Point out,zhǐchū
指导,guide,zhǐdǎo
只好,I had no choice,zhǐhǎo
只是,only,zhǐshì
只有,only,zhǐyǒu
制定,Formulate,zhìdìng
制度,system,zhìdù
至今,to date,zhìjīn
至少,At least,zhìshǎo
志愿,volunteer,zhìyuàn
制造,manufacture,zhìzào
制作,Production,zhìzuò
中部,Central,zhōngbù
终于,finally,zhōngyú
种子,seed,zhǒngzi
重大,major,zhòngdà
周围,around,zhōuwéi
主持,Host,zhǔchí
主动,initiative,zhǔdòng
主任,director,zhǔrèn
主意,idea,zhǔyi
主张,advocacy,zhǔzhāng
注意,Notice,zhù∥yì
抓住,catch,zhuāzhù
专家,expert,zhuānjiā
专门,specialized,zhuānmén
专题,Special Topic,zhuāntí
专业,major,zhuānyè
转变,change,zhuǎnbiàn
状况,situation,zhuàngkuàng
状态,state,zhuàngtài
资格,qualifications,zīgé
资金,funds,zījīn
自从,since,zìcóng
自动,automatic,zìdòng
自觉,conscious,zìjué
自然,nature,zìrán
自身,itself,zìshēn
自主,Autonomy,zìzhǔ
子女,child,zǐnǚ
总结,Summarize,zǒngjié
总是,always,zǒngshì
足够,enough,zúgòu
足球,football,zúqiú
组合,combination,zǔhé
左右,about,zuǒyòu
做客,Visiting,zuò∥kè
作品,work,zuòpǐn
作者,author,zuòzhě
